Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgMED20_2|MED20	chr6	41916878	41916898	-
4|sgBYSL_4|BYSL	chr6	41927386	41927406	+
4|sgBYSL_2|BYSL	chr6	41930182	41930202	+
4|sgBYSL_3|BYSL	chr6	41930634	41930654	+
4|sgBYSL_1|BYSL	chr6	41931459	41931479	-
4|sgCCND3_2|CCND3	chr6	41937275	41937295	+
4|sgCCND3_4|CCND3	chr6	41937333	41937353	+
4|sgCCND3_1|CCND3	chr6	41940359	41940379	+
4|sgCCND3_3|CCND3	chr6	41941509	41941529	+
4|sgTAF8_1|TAF8	chr6	42051385	42051405	-
4|sgTAF8_2|TAF8	chr6	42051463	42051483	+
4|sgTAF8_3|TAF8	chr6	42055607	42055627	+
4|sgTAF8_4|TAF8	chr6	42066358	42066378	+
4|sgC6orf132_4|C6orf132	chr6	42105940	42105960	-
4|sgC6orf132_2|C6orf132	chr6	42106121	42106141	-
4|sgC6orf132_3|C6orf132	chr6	42106995	42107015	+
4|sgC6orf132_1|C6orf132	chr6	42107535	42107555	+
4|sgGUCA1A_3|GUCA1A	chr6	42173719	42173739	-
4|sgGUCA1A_2|GUCA1A	chr6	42173744	42173764	+
4|sgGUCA1A_1|GUCA1A	chr6	42178287	42178307	+
4|sgGUCA1A_4|GUCA1A	chr6	42178404	42178424	-
4|sgGUCA1B_3|GUCA1B	chr6	42188583	42188603	-
4|sgGUCA1B_2|GUCA1B	chr6	42194610	42194630	-
4|sgGUCA1B_1|GUCA1B	chr6	42194637	42194657	+
4|sgGUCA1B_4|GUCA1B	chr6	42194768	42194788	-
4|sgMRPS10_2|MRPS10	chr6	42211856	42211876	+
4|sgMRPS10_1|MRPS10	chr6	42214121	42214141	-
4|sgMRPS10_4|MRPS10	chr6	42214291	42214311	-
4|sgMRPS10_3|MRPS10	chr6	42217788	42217808	+
4|sgTRERF1_3|TRERF1	chr6	42258166	42258186	-
4|sgTRERF1_2|TRERF1	chr6	42263447	42263467	+
4|sgTRERF1_4|TRERF1	chr6	42268198	42268218	-
4|sgTRERF1_1|TRERF1	chr6	42269342	42269362	-
4|sgUBR2_3|UBR2	chr6	42603694	42603714	+
4|sgUBR2_4|UBR2	chr6	42615077	42615097	-
4|sgUBR2_2|UBR2	chr6	42635451	42635471	+
4|sgUBR2_1|UBR2	chr6	42641599	42641619	-
4|sgPRPH2_4|PRPH2	chr6	42704509	42704529	+
4|sgPRPH2_1|PRPH2	chr6	42704594	42704614	-
4|sgPRPH2_2|PRPH2	chr6	42721837	42721857	-
4|sgPRPH2_3|PRPH2	chr6	42722133	42722153	-
4|sgTBCC_1|TBCC	chr6	42745398	42745418	-
4|sgTBCC_2|TBCC	chr6	42745445	42745465	+
4|sgTBCC_4|TBCC	chr6	42745576	42745596	+
4|sgTBCC_3|TBCC	chr6	42745743	42745763	-
4|sgGLTSCR1L_2|GLTSCR1L	chr6	42828889	42828909	+
4|sgGLTSCR1L_1|GLTSCR1L	chr6	42829343	42829363	-
4|sgGLTSCR1L_4|GLTSCR1L	chr6	42829849	42829869	-
4|sgGLTSCR1L_3|GLTSCR1L	chr6	42855888	42855908	+
4|sgRPL7L1_3|RPL7L1	chr6	42883438	42883458	+
4|sgC6orf226_4|C6orf226	chr6	42890631	42890651	+
4|sgC6orf226_1|C6orf226	chr6	42890661	42890681	-
4|sgC6orf226_2|C6orf226	chr6	42890722	42890742	+
4|sgC6orf226_3|C6orf226	chr6	42890747	42890767	+
4|sgPTCRA_4|PTCRA	chr6	42923147	42923167	-
4|sgPTCRA_1|PTCRA	chr6	42923206	42923226	-
4|sgPTCRA_2|PTCRA	chr6	42923334	42923354	-
4|sgPTCRA_3|PTCRA	chr6	42924251	42924271	+
4|sgCNPY3_2|CNPY3	chr6	42934471	42934491	-
4|sgCNPY3_3|CNPY3	chr6	42935648	42935668	+
4|sgCNPY3_1|CNPY3	chr6	42937742	42937762	+
4|sgCNPY3_4|CNPY3	chr6	42937789	42937809	-
4|sgGNMT_1|GNMT	chr6	42960814	42960834	+
4|sgGNMT_2|GNMT	chr6	42960894	42960914	-
4|sgGNMT_3|GNMT	chr6	42962327	42962347	-
4|sgGNMT_4|GNMT	chr6	42963157	42963177	+
4|sgPEX6_2|PEX6	chr6	42967477	42967497	-
4|sgPEX6_1|PEX6	chr6	42968946	42968966	-
4|sgPEX6_4|PEX6	chr6	42978386	42978406	-
4|sgPEX6_3|PEX6	chr6	42978534	42978554	-
4|sgPPP2R5D_3|PPP2R5D	chr6	43006563	43006583	+
4|sgPPP2R5D_1|PPP2R5D	chr6	43007192	43007212	-
4|sgPPP2R5D_4|PPP2R5D	chr6	43008019	43008039	+
4|sgPPP2R5D_2|PPP2R5D	chr6	43008436	43008456	-
4|sgMEA1_2|MEA1	chr6	43012982	43013002	+
4|sgMEA1_4|MEA1	chr6	43013116	43013136	-
4|sgMEA1_3|MEA1	chr6	43013176	43013196	-
4|sgMEA1_1|MEA1	chr6	43013358	43013378	-
4|sgKLHDC3_2|KLHDC3	chr6	43017277	43017297	-
4|sgKLHDC3_4|KLHDC3	chr6	43017577	43017597	-
4|sgKLHDC3_3|KLHDC3	chr6	43017640	43017660	+
4|sgKLHDC3_1|KLHDC3	chr6	43018190	43018210	-
4|sgRRP36_3|RRP36	chr6	43021695	43021715	+
4|sgRRP36_4|RRP36	chr6	43021762	43021782	+
4|sgRRP36_1|RRP36	chr6	43025110	43025130	+
4|sgRRP36_2|RRP36	chr6	43026051	43026071	-
4|sgCUL7_3|CUL7	chr6	43045378	43045398	-
4|sgCUL7_1|CUL7	chr6	43049967	43049987	-
4|sgCUL7_4|CUL7	chr6	43051075	43051095	+
4|sgCUL7_2|CUL7	chr6	43051622	43051642	+
4|sgMRPL2_4|MRPL2	chr6	43055943	43055963	+
4|sgMRPL2_1|MRPL2	chr6	43056094	43056114	-
4|sgMRPL2_3|MRPL2	chr6	43056391	43056411	+
4|sgMRPL2_2|MRPL2	chr6	43058154	43058174	+
4|sgKLC4_4|KLC4	chr6	43063125	43063145	+
4|sgKLC4_3|KLC4	chr6	43066341	43066361	+
4|sgKLC4_1|KLC4	chr6	43066510	43066530	-
4|sgKLC4_2|KLC4	chr6	43070794	43070814	+
4|sgPTK7_2|PTK7	chr6	43129076	43129096	-
4|sgPTK7_3|PTK7	chr6	43130261	43130281	-
4|sgPTK7_4|PTK7	chr6	43130550	43130570	+
4|sgPTK7_1|PTK7	chr6	43141956	43141976	+
4|sgSRF_2|SRF	chr6	43172101	43172121	+
4|sgSRF_4|SRF	chr6	43174011	43174031	-
4|sgSRF_1|SRF	chr6	43175720	43175740	-
4|sgSRF_3|SRF	chr6	43175840	43175860	-
4|sgCUL9_3|CUL9	chr6	43187324	43187344	+
4|sgCUL9_1|CUL9	chr6	43196099	43196119	-
4|sgCUL9_2|CUL9	chr6	43199968	43199988	-
4|sgCUL9_4|CUL9	chr6	43204980	43205000	-
4|sgDNPH1_2|DNPH1	chr6	43226069	43226089	-
4|sgDNPH1_3|DNPH1	chr6	43226097	43226117	+
4|sgDNPH1_1|DNPH1	chr6	43229336	43229356	-
4|sgDNPH1_4|DNPH1	chr6	43229364	43229384	-
4|sgTTBK1_4|TTBK1	chr6	43253603	43253623	-
4|sgTTBK1_1|TTBK1	chr6	43255565	43255585	-
4|sgTTBK1_2|TTBK1	chr6	43262986	43263006	+
4|sgTTBK1_3|TTBK1	chr6	43263304	43263324	+
4|sgSLC22A7_3|SLC22A7	chr6	43298621	43298641	+
4|sgSLC22A7_4|SLC22A7	chr6	43298720	43298740	-
4|sgSLC22A7_2|SLC22A7	chr6	43299474	43299494	-
4|sgSLC22A7_1|SLC22A7	chr6	43299697	43299717	-
4|sgCRIP3_4|CRIP3	chr6	43306435	43306455	+
4|sgCRIP3_1|CRIP3	chr6	43306490	43306510	-
4|sgCRIP3_3|CRIP3	chr6	43307822	43307842	+
4|sgCRIP3_2|CRIP3	chr6	43307853	43307873	+
4|sgZNF318_3|ZNF318	chr6	43355410	43355430	+
4|sgZNF318_1|ZNF318	chr6	43355975	43355995	-
4|sgZNF318_2|ZNF318	chr6	43357337	43357357	-
4|sgZNF318_4|ZNF318	chr6	43357688	43357708	-
4|sgABCC10_3|ABCC10	chr6	43432869	43432889	-
4|sgABCC10_1|ABCC10	chr6	43441897	43441917	+
4|sgABCC10_4|ABCC10	chr6	43444272	43444292	+
4|sgABCC10_2|ABCC10	chr6	43444276	43444296	+
4|sgDLK2_2|DLK2	chr6	43451101	43451121	+
4|sgDLK2_4|DLK2	chr6	43452023	43452043	-
4|sgDLK2_1|DLK2	chr6	43453053	43453073	-
4|sgDLK2_3|DLK2	chr6	43454751	43454771	-
4|sgTJAP1_3|TJAP1	chr6	43501567	43501587	+
4|sgTJAP1_1|TJAP1	chr6	43501665	43501685	+
4|sgTJAP1_4|TJAP1	chr6	43504869	43504889	-
4|sgTJAP1_2|TJAP1	chr6	43505026	43505046	+
4|sgLRRC73_4|LRRC73	chr6	43507872	43507892	-
4|sgLRRC73_1|LRRC73	chr6	43508299	43508319	-
4|sgLRRC73_2|LRRC73	chr6	43509591	43509611	-
4|sgLRRC73_3|LRRC73	chr6	43509646	43509666	+
4|sgYIPF3_2|YIPF3	chr6	43512843	43512863	+
4|sgYIPF3_1|YIPF3	chr6	43513095	43513115	+
4|sgYIPF3_4|YIPF3	chr6	43513385	43513405	-
4|sgYIPF3_3|YIPF3	chr6	43515629	43515649	+
4|sgPOLR1C_3|POLR1C	chr6	43517326	43517346	-
4|sgPOLR1C_4|POLR1C	chr6	43519813	43519833	-
4|sgPOLR1C_2|POLR1C	chr6	43520159	43520179	-
4|sgPOLR1C_1|POLR1C	chr6	43520344	43520364	-
4|sgXPO5_3|XPO5	chr6	43551354	43551374	+
4|sgXPO5_4|XPO5	chr6	43560274	43560294	-
4|sgXPO5_2|XPO5	chr6	43565643	43565663	+
4|sgXPO5_1|XPO5	chr6	43573502	43573522	+
4|sgPOLH_4|POLH	chr6	43582427	43582447	+
4|sgPOLH_2|POLH	chr6	43583101	43583121	+
4|sgPOLH_3|POLH	chr6	43601036	43601056	-
4|sgPOLH_1|POLH	chr6	43604666	43604686	+
4|sgGTPBP2_2|GTPBP2	chr6	43624511	43624531	+
4|sgGTPBP2_4|GTPBP2	chr6	43625041	43625061	-
4|sgGTPBP2_1|GTPBP2	chr6	43625770	43625790	+
4|sgGTPBP2_3|GTPBP2	chr6	43626310	43626330	-
4|sgMAD2L1BP_2|MAD2L1BP	chr6	43636419	43636439	-
4|sgMAD2L1BP_4|MAD2L1BP	chr6	43636453	43636473	+
4|sgMAD2L1BP_1|MAD2L1BP	chr6	43636604	43636624	-
4|sgMAD2L1BP_3|MAD2L1BP	chr6	43640040	43640060	+
4|sgRSPH9_3|RSPH9	chr6	43645256	43645276	-
4|sgRSPH9_2|RSPH9	chr6	43645308	43645328	-
4|sgRSPH9_4|RSPH9	chr6	43655593	43655613	+
4|sgRSPH9_1|RSPH9	chr6	43655667	43655687	-
4|sgMRPS18A_4|MRPS18A	chr6	43675190	43675210	+
4|sgMRPS18A_3|MRPS18A	chr6	43675523	43675543	-
4|sgMRPS18A_1|MRPS18A	chr6	43675579	43675599	-
4|sgMRPS18A_2|MRPS18A	chr6	43687712	43687732	+
4|sgVEGFA_2|VEGFA	chr6	43771141	43771161	+
4|sgVEGFA_4|VEGFA	chr6	43771227	43771247	-
4|sgVEGFA_3|VEGFA	chr6	43774370	43774390	+
4|sgVEGFA_1|VEGFA	chr6	43777547	43777567	-
4|sgC6orf223_1|C6orf223	chr6	44000660	44000680	+
4|sgC6orf223_3|C6orf223	chr6	44001030	44001050	+
4|sgC6orf223_2|C6orf223	chr6	44002065	44002085	+
4|sgC6orf223_4|C6orf223	chr6	44002722	44002742	+
4|sgMRPL14_2|MRPL14	chr6	44113979	44113999	+
4|sgMRPL14_4|MRPL14	chr6	44114095	44114115	+
4|sgMRPL14_3|MRPL14	chr6	44114159	44114179	-
4|sgMRPL14_1|MRPL14	chr6	44114184	44114204	+
4|sgTMEM63B_2|TMEM63B	chr6	44139473	44139493	+
4|sgTMEM63B_4|TMEM63B	chr6	44140307	44140327	-
4|sgTMEM63B_3|TMEM63B	chr6	44147437	44147457	-
4|sgTMEM63B_1|TMEM63B	chr6	44149925	44149945	-
4|sgCAPN11_3|CAPN11	chr6	44172344	44172364	+
4|sgCAPN11_4|CAPN11	chr6	44173226	44173246	+
4|sgCAPN11_1|CAPN11	chr6	44173363	44173383	-
4|sgCAPN11_2|CAPN11	chr6	44176243	44176263	+
4|sgSLC29A1_2|SLC29A1	chr6	44229912	44229932	-
4|sgSLC29A1_4|SLC29A1	chr6	44230405	44230425	+
4|sgSLC29A1_3|SLC29A1	chr6	44230594	44230614	-
4|sgSLC29A1_1|SLC29A1	chr6	44230867	44230887	+
4|sgHSP90AB1_3|HSP90AB1	chr6	44248748	44248768	-
4|sgHSP90AB1_2|HSP90AB1	chr6	44249729	44249749	-
4|sgHSP90AB1_1|HSP90AB1	chr6	44250010	44250030	+
4|sgHSP90AB1_4|HSP90AB1	chr6	44250586	44250606	-
4|sgSLC35B2_4|SLC35B2	chr6	44255169	44255189	+
4|sgSLC35B2_3|SLC35B2	chr6	44255520	44255540	+
4|sgSLC35B2_1|SLC35B2	chr6	44255627	44255647	-
4|sgSLC35B2_2|SLC35B2	chr6	44256790	44256810	+
4|sgNFKBIE_1|NFKBIE	chr6	44261813	44261833	-
4|sgNFKBIE_4|NFKBIE	chr6	44265173	44265193	+
4|sgNFKBIE_2|NFKBIE	chr6	44265411	44265431	-
4|sgNFKBIE_3|NFKBIE	chr6	44265553	44265573	+
4|sgTMEM151B_3|TMEM151B	chr6	44273358	44273378	-
4|sgTMEM151B_2|TMEM151B	chr6	44275441	44275461	+
4|sgTMEM151B_4|TMEM151B	chr6	44275791	44275811	+
4|sgTMEM151B_1|TMEM151B	chr6	44275915	44275935	-
4|sgTCTE1_4|TCTE1	chr6	44282282	44282302	-
4|sgTCTE1_3|TCTE1	chr6	44285947	44285967	+
4|sgTCTE1_1|TCTE1	chr6	44286038	44286058	-
4|sgTCTE1_2|TCTE1	chr6	44286338	44286358	-
4|sgAARS2_2|AARS2	chr6	44304692	44304712	-
4|sgAARS2_3|AARS2	chr6	44305163	44305183	-
4|sgAARS2_4|AARS2	chr6	44311062	44311082	+
4|sgAARS2_1|AARS2	chr6	44313105	44313125	+
4|sgSPATS1_1|SPATS1	chr6	44343196	44343216	+
4|sgSPATS1_3|SPATS1	chr6	44352852	44352872	-
4|sgSPATS1_4|SPATS1	chr6	44361847	44361867	-
4|sgSPATS1_2|SPATS1	chr6	44368375	44368395	-
4|sgCDC5L_2|CDC5L	chr6	44392743	44392763	+
4|sgCDC5L_3|CDC5L	chr6	44393525	44393545	+
4|sgCDC5L_1|CDC5L	chr6	44408493	44408513	+
4|sgCDC5L_4|CDC5L	chr6	44419512	44419532	-
4|sgSUPT3H_4|SUPT3H	chr6	44954577	44954597	-
4|sgSUPT3H_1|SUPT3H	chr6	45003654	45003674	-
4|sgSUPT3H_2|SUPT3H	chr6	45003714	45003734	+
4|sgSUPT3H_3|SUPT3H	chr6	45014818	45014838	-
4|sgRUNX2_4|RUNX2	chr6	45422647	45422667	+
4|sgRUNX2_1|RUNX2	chr6	45491992	45492012	-
4|sgRUNX2_2|RUNX2	chr6	45512271	45512291	-
4|sgRUNX2_3|RUNX2	chr6	45512386	45512406	-
4|sgCLIC5_1|CLIC5	chr6	45941612	45941632	-
4|sgCLIC5_4|CLIC5	chr6	45949289	45949309	-
4|sgCLIC5_3|CLIC5	chr6	45955147	45955167	-
4|sgCLIC5_2|CLIC5	chr6	46015481	46015501	-
4|sgENPP4_3|ENPP4	chr6	46139658	46139678	-
4|sgENPP4_1|ENPP4	chr6	46139804	46139824	-
4|sgENPP4_2|ENPP4	chr6	46140009	46140029	-
4|sgENPP4_4|ENPP4	chr6	46140314	46140334	+
4|sgENPP5_3|ENPP5	chr6	46167658	46167678	+
4|sgENPP5_2|ENPP5	chr6	46167861	46167881	-
4|sgENPP5_1|ENPP5	chr6	46167926	46167946	+
4|sgENPP5_4|ENPP5	chr6	46168095	46168115	+
4|sgRCAN2_1|RCAN2	chr6	46246791	46246811	+
4|sgRCAN2_4|RCAN2	chr6	46248753	46248773	-
4|sgRCAN2_3|RCAN2	chr6	46325400	46325420	-
4|sgRCAN2_2|RCAN2	chr6	46325425	46325445	+
4|sgCYP39A1_2|CYP39A1	chr6	46625446	46625466	-
4|sgCYP39A1_1|CYP39A1	chr6	46636460	46636480	-
4|sgCYP39A1_4|CYP39A1	chr6	46639522	46639542	-
4|sgCYP39A1_3|CYP39A1	chr6	46652475	46652495	+
4|sgSLC25A27_1|SLC25A27	chr6	46653246	46653266	-
4|sgSLC25A27_3|SLC25A27	chr6	46655935	46655955	-
4|sgSLC25A27_2|SLC25A27	chr6	46658983	46659003	+
4|sgSLC25A27_4|SLC25A27	chr6	46662371	46662391	+
4|sgTDRD6_4|TDRD6	chr6	46688839	46688859	-
4|sgTDRD6_1|TDRD6	chr6	46689252	46689272	-
4|sgTDRD6_3|TDRD6	chr6	46689823	46689843	+
4|sgTDRD6_2|TDRD6	chr6	46690604	46690624	+
4|sgPLA2G7_1|PLA2G7	chr6	46711524	46711544	-
4|sgPLA2G7_2|PLA2G7	chr6	46712287	46712307	+
4|sgPLA2G7_4|PLA2G7	chr6	46716501	46716521	+
4|sgPLA2G7_3|PLA2G7	chr6	46717014	46717034	+
4|sgANKRD66_2|ANKRD66	chr6	46749931	46749951	+
4|sgANKRD66_3|ANKRD66	chr6	46753710	46753730	+
4|sgANKRD66_1|ANKRD66	chr6	46753768	46753788	-
4|sgANKRD66_4|ANKRD66	chr6	46753874	46753894	-
4|sgMEP1A_2|MEP1A	chr6	46809465	46809485	-
4|sgMEP1A_4|MEP1A	chr6	46825448	46825468	+
4|sgMEP1A_1|MEP1A	chr6	46829412	46829432	-
4|sgMEP1A_3|MEP1A	chr6	46833296	46833316	+
4|sgADGRF5_2|ADGRF5	chr6	46866978	46866998	-
4|sgADGRF5_4|ADGRF5	chr6	46868928	46868948	+
4|sgADGRF5_1|ADGRF5	chr6	46879863	46879883	+
4|sgADGRF5_3|ADGRF5	chr6	46883576	46883596	+
4|sgADGRF1_3|ADGRF1	chr6	47009681	47009701	+
4|sgADGRF1_2|ADGRF1	chr6	47010052	47010072	-
4|sgADGRF1_1|ADGRF1	chr6	47014821	47014841	+
4|sgADGRF1_4|ADGRF1	chr6	47024132	47024152	+
4|sgTNFRSF21_2|TNFRSF21	chr6	47285941	47285961	+
4|sgTNFRSF21_1|TNFRSF21	chr6	47286059	47286079	-
4|sgTNFRSF21_4|TNFRSF21	chr6	47286234	47286254	+
4|sgTNFRSF21_3|TNFRSF21	chr6	47286483	47286503	+
4|sgCD2AP_4|CD2AP	chr6	47503424	47503444	-
4|sgCD2AP_3|CD2AP	chr6	47554754	47554774	-
4|sgCD2AP_2|CD2AP	chr6	47576543	47576563	+
4|sgCD2AP_1|CD2AP	chr6	47595937	47595957	-
4|sgADGRF2_3|ADGRF2	chr6	47679036	47679056	+
4|sgADGRF2_1|ADGRF2	chr6	47680173	47680193	-
4|sgADGRF2_2|ADGRF2	chr6	47681808	47681828	+
4|sgADGRF2_4|ADGRF2	chr6	47681947	47681967	-
4|sgADGRF4_4|ADGRF4	chr6	47712475	47712495	-
4|sgADGRF4_3|ADGRF4	chr6	47713876	47713896	-
4|sgADGRF4_1|ADGRF4	chr6	47714192	47714212	+
4|sgADGRF4_2|ADGRF4	chr6	47714389	47714409	-
4|sgOPN5_3|OPN5	chr6	47782119	47782139	-
4|sgOPN5_2|OPN5	chr6	47791871	47791891	-
4|sgOPN5_1|OPN5	chr6	47795341	47795361	-
4|sgOPN5_4|OPN5	chr6	47795462	47795482	-
4|sgPTCHD4_1|PTCHD4	chr6	47879273	47879293	+
4|sgPTCHD4_2|PTCHD4	chr6	47879566	47879586	+
4|sgPTCHD4_3|PTCHD4	chr6	48008616	48008636	+
4|sgPTCHD4_4|PTCHD4	chr6	48009045	48009065	-
4|sgHNRNPA3_1|HNRNPA3	chr6	48149726	48149746	-
4|sgMUT_1|MUT	chr6	49451505	49451525	+
4|sgMUT_2|MUT	chr6	49457692	49457712	-
4|sgMUT_4|MUT	chr6	49458012	49458032	-
4|sgMUT_3|MUT	chr6	49459188	49459208	-
4|sgCENPQ_1|CENPQ	chr6	49472070	49472090	+
4|sgCENPQ_3|CENPQ	chr6	49472130	49472150	-
4|sgCENPQ_4|CENPQ	chr6	49481041	49481061	+
4|sgCENPQ_2|CENPQ	chr6	49481058	49481078	+
4|sgGLYATL3_4|GLYATL3	chr6	49515642	49515662	+
4|sgGLYATL3_3|GLYATL3	chr6	49515738	49515758	+
4|sgGLYATL3_1|GLYATL3	chr6	49526501	49526521	-
4|sgGLYATL3_2|GLYATL3	chr6	49526561	49526581	+
4|sgC6orf141_1|C6orf141	chr6	49550878	49550898	-
4|sgC6orf141_3|C6orf141	chr6	49551079	49551099	+
4|sgC6orf141_2|C6orf141	chr6	49551198	49551218	+
4|sgC6orf141_4|C6orf141	chr6	49551253	49551273	-
4|sgRHAG_4|RHAG	chr6	49614702	49614722	-
4|sgRHAG_1|RHAG	chr6	49614755	49614775	+
4|sgRHAG_2|RHAG	chr6	49615747	49615767	+
4|sgRHAG_3|RHAG	chr6	49619227	49619247	+
4|sgCRISP2_1|CRISP2	chr6	49698363	49698383	-
4|sgCRISP2_2|CRISP2	chr6	49698439	49698459	+
4|sgCRISP2_3|CRISP2	chr6	49699855	49699875	-
4|sgCRISP2_4|CRISP2	chr6	49700669	49700689	-
4|sgCRISP3_2|CRISP3	chr6	49733722	49733742	-
4|sgCRISP3_3|CRISP3	chr6	49733780	49733800	-
4|sgCRISP3_4|CRISP3	chr6	49735518	49735538	-
4|sgCRISP3_1|CRISP3	chr6	49736462	49736482	-
4|sgPGK2_3|PGK2	chr6	49786436	49786456	-
4|sgPGK2_2|PGK2	chr6	49786658	49786678	-
4|sgPGK2_4|PGK2	chr6	49786715	49786735	+
4|sgPGK2_1|PGK2	chr6	49787001	49787021	+
4|sgCRISP1_1|CRISP1	chr6	49846521	49846541	-
4|sgCRISP1_2|CRISP1	chr6	49846571	49846591	-
4|sgCRISP1_4|CRISP1	chr6	49848208	49848228	+
4|sgCRISP1_3|CRISP1	chr6	49852042	49852062	-
4|sgDEFB133_3|DEFB133	chr6	49946181	49946201	+
4|sgDEFB133_2|DEFB133	chr6	49946182	49946202	-
4|sgDEFB133_1|DEFB133	chr6	49946193	49946213	+
4|sgDEFB133_4|DEFB133	chr6	49949387	49949407	-
4|sgDEFB114_4|DEFB114	chr6	49960390	49960410	+
4|sgDEFB114_2|DEFB114	chr6	49960414	49960434	+
4|sgDEFB114_3|DEFB114	chr6	49964052	49964072	-
4|sgDEFB114_1|DEFB114	chr6	49964062	49964082	+
4|sgDEFB113_3|DEFB113	chr6	49968780	49968800	-
4|sgDEFB113_4|DEFB113	chr6	49968795	49968815	-
4|sgDEFB113_2|DEFB113	chr6	49969569	49969589	-
4|sgDEFB113_1|DEFB113	chr6	49969577	49969597	+
4|sgDEFB110_2|DEFB110	chr6	50019064	50019084	-
4|sgDEFB110_4|DEFB110	chr6	50019095	50019115	-
4|sgDEFB112_4|DEFB112	chr6	50043746	50043766	-
4|sgDEFB112_1|DEFB112	chr6	50043766	50043786	-
4|sgDEFB112_2|DEFB112	chr6	50048538	50048558	-
4|sgDEFB112_3|DEFB112	chr6	50048558	50048578	-
4|sgTFAP2D_1|TFAP2D	chr6	50715288	50715308	-
4|sgTFAP2D_2|TFAP2D	chr6	50715410	50715430	-
4|sgTFAP2D_3|TFAP2D	chr6	50719128	50719148	+
4|sgTFAP2D_4|TFAP2D	chr6	50729242	50729262	+
4|sgTFAP2B_2|TFAP2B	chr6	50818950	50818970	+
4|sgTFAP2B_4|TFAP2B	chr6	50823843	50823863	-
4|sgTFAP2B_3|TFAP2B	chr6	50836121	50836141	+
4|sgTFAP2B_1|TFAP2B	chr6	50838023	50838043	+
4|sgPKHD1_3|PKHD1	chr6	51855971	51855991	-
4|sgPKHD1_2|PKHD1	chr6	52024693	52024713	+
4|sgPKHD1_4|PKHD1	chr6	52026079	52026099	-
4|sgPKHD1_1|PKHD1	chr6	52046054	52046074	-
4|sgIL17A_1|IL17A	chr6	52187701	52187721	-
4|sgIL17A_2|IL17A	chr6	52187765	52187785	-
4|sgIL17A_3|IL17A	chr6	52187789	52187809	-
4|sgIL17A_4|IL17A	chr6	52189069	52189089	-
4|sgIL17F_3|IL17F	chr6	52238819	52238839	+
4|sgIL17F_1|IL17F	chr6	52238862	52238882	+
4|sgIL17F_4|IL17F	chr6	52238901	52238921	-
4|sgIL17F_2|IL17F	chr6	52238931	52238951	+
4|sgMCM3_2|MCM3	chr6	52273328	52273348	+
4|sgMCM3_4|MCM3	chr6	52277634	52277654	+
4|sgMCM3_1|MCM3	chr6	52279468	52279488	+
4|sgMCM3_3|MCM3	chr6	52282753	52282773	-
4|sgPAQR8_3|PAQR8	chr6	52403351	52403371	+
4|sgPAQR8_2|PAQR8	chr6	52403482	52403502	-
4|sgPAQR8_4|PAQR8	chr6	52403563	52403583	-
4|sgPAQR8_1|PAQR8	chr6	52403799	52403819	+
4|sgEFHC1_1|EFHC1	chr6	52438507	52438527	+
4|sgEFHC1_4|EFHC1	chr6	52452771	52452791	-
4|sgEFHC1_3|EFHC1	chr6	52454168	52454188	+
4|sgEFHC1_2|EFHC1	chr6	52465073	52465093	-
4|sgTRAM2_2|TRAM2	chr6	52507562	52507582	+
4|sgTRAM2_4|TRAM2	chr6	52509510	52509530	+
4|sgTRAM2_3|TRAM2	chr6	52535790	52535810	+
4|sgTRAM2_1|TRAM2	chr6	52576841	52576861	-
4|sgTMEM14A_2|TMEM14A	chr6	52677134	52677154	-
4|sgTMEM14A_1|TMEM14A	chr6	52681823	52681843	-
4|sgTMEM14A_3|TMEM14A	chr6	52681860	52681880	-
4|sgTMEM14A_4|TMEM14A	chr6	52684093	52684113	-
4|sgGSTA2_2|GSTA2	chr6	52751674	52751694	+
4|sgGSTA2_4|GSTA2	chr6	52752924	52752944	-
4|sgGSTA2_1|GSTA2	chr6	52754939	52754959	-
4|sgGSTA2_3|GSTA2	chr6	52757909	52757929	-
4|sgGSTA1_3|GSTA1	chr6	52792968	52792988	+
4|sgGSTA1_4|GSTA1	chr6	52794195	52794215	-
4|sgGSTA1_1|GSTA1	chr6	52799182	52799202	-
4|sgGSTA1_2|GSTA1	chr6	52799229	52799249	-
4|sgGSTA5_2|GSTA5	chr6	52832956	52832976	+
4|sgGSTA5_4|GSTA5	chr6	52834211	52834231	-
4|sgGSTA5_1|GSTA5	chr6	52836282	52836302	+
4|sgGSTA5_3|GSTA5	chr6	52840775	52840795	-
4|sgGSTA3_4|GSTA3	chr6	52899931	52899951	-
4|sgGSTA3_3|GSTA3	chr6	52900004	52900024	-
4|sgGSTA3_2|GSTA3	chr6	52905749	52905769	-
4|sgGSTA3_1|GSTA3	chr6	52905796	52905816	-
4|sgGSTA4_1|GSTA4	chr6	52984588	52984608	-
4|sgGSTA4_4|GSTA4	chr6	52985484	52985504	+
4|sgGSTA4_3|GSTA4	chr6	52994147	52994167	+
4|sgGSTA4_2|GSTA4	chr6	52994201	52994221	-
4|sgICK_2|ICK	chr6	53013753	53013773	-
4|sgICK_3|ICK	chr6	53013855	53013875	+
4|sgICK_1|ICK	chr6	53018434	53018454	+
4|sgICK_4|ICK	chr6	53037946	53037966	-
4|sgFBXO9_2|FBXO9	chr6	53073528	53073548	-
4|sgFBXO9_1|FBXO9	chr6	53073588	53073608	+
